,Nazwa,Ticker
0,ALIOR,ALR
1,ALLEGRO,ALE
2,ASSECOPOL,ACP
3,BENEFIT,BFT
4,BUDIMEX,BDX
5,CDPROJEKT,CDR
6,CYFRPLSAT,CPS
7,DINOPL,DNP
8,ENEA,ENA
9,JSW,JSW
10,KETY,KTY
11,KGHM,KGH
12,KRUK,KRU
13,LPP,LPP
14,MBANK,MBK
15,MILLENNIUM,MIL
16,MODIVO,MDV
17,ORANGEPL,OPL
18,PEKAO,PEO
19,PEPCO,PCO
20,PGE,PGE
21,PKNORLEN,PKN
22,PKOBP,PKO
23,PZU,PZU
24,RAINBOW,RBW
25,SANPL,SPL
26,SYNEKTIK,SNT
27,TAURONPE,TPE
28,XTB,XTB
29,ZABKA,ZAB
