Data,ALR,MDV,ENA,JSW,KGH,MIL,PEO,PGE,PKO,PZU,SPL,TPE,value
2025-01-02,8333.333333333334,8333.333333333334,8333.333333333334,8333.333333333334,8333.333333333334,8333.333333333334,8333.333333333334,8333.333333333334,8333.333333333334,8333.333333333334,8333.333333333334,8333.333333333334,99999.99999999999
2025-01-03,8329.485639433875,8099.2509363295885,8564.080926618191,8430.00773395205,8290.798241882889,8624.57722660654,8411.231696538765,8458.482968767004,8479.584813492416,8390.757699398555,8407.45692850155,8570.175438596492,101055.89025011791
2025-01-07,8596.509253703829,7933.2652366360235,8512.818288406232,8669.760247486467,8457.39401673047,8662.157083803084,8617.921135537845,8346.936554576125,8533.015314028984,8636.593657901121,8579.233223807425,8581.140350877193,102126.7443634948
2025-01-08,8385.19263627496,7720.4630575417095,8429.483640646278,8430.00773395205,8482.206153409898,8850.056369785796,8498.087707983323,8115.68179344869,8488.01485859542,8613.267430929956,8447.245020364233,8508.771929824563,100968.47833275689
2025-01-09,8385.19263627496,7737.487231869255,8525.633947959222,8402.938901778809,8670.069473982703,9113.115370161593,8629.864666523345,8167.374034171292,8513.33515506759,8650.949749417427,8548.493268028707,8576.754385964914,101921.20882119982
2025-01-10,8561.932861546868,7924.75314947225,8564.080926618191,8236.658932714618,8620.44520062385,8976.888387824127,8776.703744695082,8093.916639460225,8541.460439713568,8636.593657901121,8658.78965177715,8550.438596491229,102142.66218883827
2025-01-13,8435.138662854491,7767.279536942458,8589.777967055212,8681.36117556071,8588.543882036014,8788.989101841415,8596.9536033633,8137.4469474371535,8448.639460091052,8550.457108803288,8440.014413799317,8552.631578947368,101577.23343873178
2025-01-14,8510.062988017606,7839.632277834525,8532.074638401238,8584.686774941994,8570.820927264995,8873.543780533635,8746.712211331493,8099.3579279573405,8448.639460091052,8523.546702438714,8581.030997570833,8548.24561403509,101858.35430041852
2025-01-15,8682.955519390052,7831.120190670753,8673.046893484125,8754.833720030936,8762.228838792005,9075.535512965052,8908.480703235104,8276.199804113614,8552.710553571958,8711.958294876056,8693.125155082682,8596.491228070176,103518.6864142825
2025-01-16,8469.715055011453,7745.999319033027,8621.784255272167,8553.750966744006,8808.308521196655,9019.165727170237,8668.81384812606,8134.726303188596,8507.710098138394,8710.15651820802,8586.46383037234,8530.701754385966,102357.29619684692
2025-01-17,8673.346855229038,7865.168539325843,8621.784255272167,8700.696055684455,8960.725932227422,9033.258173618942,8740.740445838741,8447.600391772772,8552.710553571958,8792.708887912442,8667.818032105475,8778.508771929826,103835.06689448911
2025-01-20,8767.477938126547,7648.110316649642,8967.938505864973,9145.398298530548,8989.082659861053,9066.140548665917,8821.624691790548,8480.248122755469,8634.266338754502,8828.589429731872,8738.326323991232,8925.438596491229,105012.64177121353
2025-01-21,8809.739147494793,7699.182839632278,8782.0785816811,8897.911832946636,8861.477385509714,9080.232995114618,8962.425651519616,8433.997170529983,8743.947408583024,8866.27174821934,8743.759156792741,8721.491228070176,104602.51514609403
2025-01-22,8832.793599128647,7571.50153217569,8794.89424123409,8646.558391337974,8755.139656883597,9432.544156332206,9169.048737568775,8406.790728044401,9137.701393626707,8972.150344894928,8899.256709449732,8782.894736842107,105401.27422751885
2025-01-23,8646.455280283362,7554.4773578481445,8615.409286161192,8758.700696055685,8733.872111158375,9394.964299135665,9133.151791662356,8406.790728044401,9123.63121101293,9025.990531566738,8949.870955404149,8826.754385964914,105170.0686342979
2025-01-24,8815.500117756348,7490.63670411985,8653.85626482016,8971.38437741686,9028.073160357297,9573.468620819242,9246.947100774209,8491.130699749701,9185.50683723408,9061.87107338617,8931.794438991856,8914.473684210529,106364.6430796363
2025-01-27,8844.315539651756,7516.1729656111675,8532.074638401238,8901.778808971385,8740.96129306678,9441.939120631343,9351.784761646933,8447.600391772772,9179.881780304882,9072.642985509065,8980.610911182865,8710.526315789475,105720.28951253969
2025-01-28,8896.185413181018,7086.312563840654,8775.637891239085,9261.407579273007,8606.266836807034,9554.67869222097,9495.571604122377,8578.19131570356,9345.828500006939,8966.76438883348,9027.629609610463,8815.78947368421,106410.26386852282
2025-01-29,8901.94638344257,7107.592781750085,8717.934562585111,9280.742459396752,8815.397703105064,9554.67869222097,9507.581488057798,8621.721623680489,9309.25808967638,8900.3698873134,9069.215475236557,8870.61403508772,106657.05318155291
2025-01-30,8986.468802179064,7150.153217568948,8839.716189004033,9048.723897911832,9059.97447894513,9789.552799699362,9660.325978772365,9046.142126455547,9497.689956513637,9036.743069746968,9206.616755725614,9271.929824561405,108594.0370970839
2025-01-31,9046.02349291961,7320.394960844399,8967.938505864973,8971.38437741686,8914.646249822772,9770.762871101091,9606.447383437773,8899.22733703341,9410.509114401897,8972.150344894928,9166.848419618573,9324.561403508773,108370.89446086505
2025-02-03,8844.315539651756,7265.066394279877,8884.603858105018,8870.843000773395,8716.149156387355,9592.258549417515,9438.64077309149,8757.75383610839,9247.38246345523,8914.725978829705,8911.900393060514,9203.947368421053,106647.5873115813
2025-02-04,8905.79407734203,7503.40483486551,8730.7502221381,8990.719257540602,8822.486885013472,9582.863585118377,9489.599838629627,8776.798345848298,9174.256723375687,8997.27834853413,8996.889653831748,9250.000000000002,107220.84177223759
2025-02-05,8615.716011438222,7456.58835546476,8762.822231686094,8855.3750966744,8719.693747341558,9047.350620067646,9345.812996154184,8733.268037871369,8974.574742680039,8896.78570791999,8696.74045836514,9300.438596491229,105405.16660215464
2025-02-06,8830.869752178916,7869.424582907729,8814.084869898055,8905.645784996133,9134.410888983413,9362.081924088689,9684.279393693285,8774.07770159974,9312.078158431766,9151.591801877414,9029.427383373873,9339.912280701756,108207.88452273078
2025-02-07,8978.78398496778,8001.361933946204,8833.34121989306,9280.742459396752,9378.987664823482,9620.44344231492,9846.0478855969,8817.608009576668,9489.259911410632,9165.947893393717,9094.522598213764,9429.82456140351,109936.87156493739
2025-02-10,9046.02349291961,7754.511406196799,8987.194855859978,9543.69682907966,9924.85467177088,9780.157835400227,9852.01965108965,9255.631733594517,9475.189728796855,9176.719805516614,9127.06032775589,9596.491228070177,111519.55156605085
2025-02-11,9201.622542919758,8895.131086142323,8974.379196306989,9474.091260634184,9641.287395434569,10306.275836151824,10064.747208531398,9209.38078136903,9638.316379743525,9237.728350975245,9333.191882122937,9649.122807017546,113625.27472734932
2025-02-12,9288.068808605982,8546.135512427647,9038.457494071938,9342.61407579273,9556.217212533677,10372.040586245772,10478.059733579636,9114.158232669497,9874.568770769734,9399.229537048015,9582.687320123845,9570.175438596492,114162.41272246496
2025-02-13,9234.285658714627,8490.806945863125,9051.273153624927,9358.081979891724,9666.099532113996,10287.485907553551,10514.023032435976,9372.619436282512,10057.375580677795,9463.822261900057,9582.687320123845,9561.403508771931,114639.96431795406
2025-02-14,9021.045194336026,8512.087163772558,9102.535791836885,9396.75174013921,9698.000850701832,10108.981585869975,10325.315242865068,9250.1904450974,9880.19382769893,9384.87344553171,9495.900285589205,9649.122807017546,113824.99838045632
2025-02-17,9082.523732026302,8469.526727953695,9102.535791836885,10092.807424593968,9846.873670778394,10202.931228861331,10364.264424467785,9280.117531831538,9874.568770769734,9546.37463160448,9517.611861039597,9572.368421052633,114952.50421681633
2025-02-18,9478.244250763093,8082.226762002043,9211.56748003386,10127.610208816706,9875.230398412026,10691.469372416386,10915.458379448635,9429.752965502232,10285.182846019421,9926.781995872576,9853.914089330787,9743.42105263158,117620.85980124935
2025-02-19,9338.014835185513,8154.579502894109,9179.495470485866,9880.123743232793,9726.35757833546,10653.889515219844,10687.801408275009,9484.165850473393,10153.00154847412,9736.568626767194,9716.493053086087,9688.596491228072,116399.08762365747
2025-02-20,9457.11364607897,8371.63772557031,9038.457494071938,9814.385150812064,9857.507443641007,10597.519729425028,10600.879043880534,9331.809772554141,10048.945535574792,9750.9247182835,9658.628444811111,9649.122807017546,116176.93151172093
2025-02-21,9480.168097712822,8226.932243786177,9102.535791836885,9899.458623356535,9765.348078831705,10747.8391582112,10490.069617515057,9590.270976167158,9975.81979549525,9715.04417646407,9604.398895574237,9692.982456140351,116290.86791109144
2025-02-24,9109.415306971981,8129.043241402792,8955.122846311982,9535.962877030162,9517.226712037433,10419.015407741452,10097.658271691445,9568.505822178693,9641.13644849891,9557.12716978471,9362.114308382605,9605.263157894738,113497.59156992688
2025-02-25,9193.937725708474,8154.579502894109,8846.156879446049,9497.293116782675,9428.611938182336,10710.259301014657,10268.384411834182,9590.270976167158,9694.566949035478,9664.807543128332,9412.748310092664,9546.052631578948,114007.66928586506
2025-02-26,9351.460622658353,8180.115764385427,9025.641834518947,10054.137664346481,9655.465759251383,11010.898158586999,10457.092201405092,10118.07596038742,9874.568770769734,9776.0527219227,9644.167231681278,9778.508771929824,116926.18546184362
2025-02-27,9278.460144444967,8014.130064691863,8942.307186758993,9783.449342614076,9368.353891960869,10982.713265689592,10379.26019114958,9867.776689520078,9829.56831533617,9668.391722521743,9495.900285589205,9649.122807017546,115259.43390729469
2025-02-28,9130.545911656105,8035.410282601294,8807.70990078708,9686.77494199536,9176.945980433858,10898.15858699737,10184.514283136,9690.934813363805,9717.06717675226,9675.560081308562,9412.748310092664,9692.982456140351,114109.35272526472
2025-03-03,9220.829300654152,7797.071842015662,8935.932217648018,9938.128383604022,9336.452573373033,11123.637730176626,10235.473348674137,9786.157362063337,9832.373303509976,9844.249000110818,9495.900285589205,9714.912280701756,115261.11762812074
2025-03-04,8723.29288180857,7401.259788900239,8807.70990078708,9775.71539056458,9028.073160357297,10484.780157835401,9675.321745454161,9541.299379693111,9275.507748101207,9424.33816674455,9076.446081801472,9557.017543859649,110770.76194590732
2025-03-05,9364.90641013119,7490.63670411985,8814.084869898055,9709.97679814385,9410.888983411316,10992.108229988726,10196.52416707142,9652.845793883993,9843.623417368368,9689.916172824867,9513.996557757138,9682.01754385965,114361.52564845842
2025-03-06,9555.092422875936,7597.0377936670075,8820.52556034007,9145.398298530548,9435.701120090744,11311.537016159338,10439.17690492684,9748.068342583525,10124.87626382814,9801.180725561902,9846.663727010227,9728.070175438597,115553.32835101288
2025-03-07,9609.837496242159,7660.878447395301,8935.932217648018,9002.32018561485,9332.90798241883,11424.276587748967,10511.037149689602,9750.788986832084,10265.502687058028,9829.892908594513,9839.43312044531,9730.263157894738,115893.07092758239
2025-03-10,9230.437964815166,7745.999319033027,8923.050836763987,9040.989945862335,9074.152842761947,11292.747087561069,10124.597569358739,9775.274785069105,9956.124555952276,9671.975901915153,9474.208465894455,9686.403508771931,113995.9627837592
2025-03-11,9251.56856949929,7741.743275451141,8916.675867653013,9230.47177107502,9091.875797532966,11443.066516347239,10082.66250500965,9767.112852323431,9888.623872801933,9524.830807358689,9459.74725276462,9635.964912280702,114034.34400009771
