Data,Zamkniecie
2025-12-03,109948.09
2025-12-04,110072.01
2025-12-05,109977.3
2025-12-08,110095.19
2025-12-09,111890.26
2025-12-10,112365.38
2025-12-11,113456.5
2025-12-12,113797.28
2025-12-15,115368.66
2025-12-16,114246.43
2025-12-17,114381.38
2025-12-18,114486.43
2025-12-19,115547.93
2025-12-22,116571.84
2025-12-23,116148.72
2025-12-29,116600.23
2025-12-30,117240.24
